//가이드와 스페셜 퀘스트의 챕터, 제목, 받을때, 진행중, 완료 대사를 입력하며 공통으로 받을 때 에러용 대사가 준비되어야 한다.			
//QuestStringIndex	eng	StringType	Quest Index
302	To find out when you can enter, simply press the F1 key. If you want to enter, take an Invisibility Cloak that's right for your level to the Messenger of Archangel before the scheduled start time. Come see me when you have time, and I will give you a quest that will earn you the Invisibility Cloak so that you can enter Blood Castle.	2	46
303	If you understand everything, receive the reward.	4	46
304	Listen to the explanation of the Blood Castle.	5	46
305	Get the supplies for Blood Castle	1	47
306	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 400-599)	2	47
307	It appears Poison Bull Fighters are causing quite a headache for novice travelers to the Dungeon these days. Hunt down 60 Poison Bull Fighters, and I'll give you an Invisibility Cloak + 2 as a reward. At your current level, it'll be too dangerous for you to hunt the monsters alone. It'll be better if you hunt in a party.	2	47
308	Defeat Poison Bull Fighters in Dungeon and return.	3	47
309	Well done. Here's the supplies.	4	47
310	Defeat Poison Bull Fighters in Dungeon and receive supplies.	5	47
311	Destroy the gate in Blood Castle!	1	48
312	Taking on the challenges of Blood Castle is tantamount to testing one's own limitations. (Level 400-599)	2	48
313	Try your hand at Blood Castle Level 2 and complete Archangel's quest. Come back afterwards, and I'll give you 200,000 Zens as a reward. However, this applies only to Blood Castle Level 1.	2	48
314	Enter Blood Castle to destroy the gate and return.	3	48
315	Well done.	4	48
316	Destroy the gate in Blood Castle 1 time and return.	5	48
317	Clear Blood Castle!	1	49
318	Surviving Blood Castle is proof of how well you've trained. (Level 400-599)	2	49
319	Try your hand at Blood Castle Level 2 and complete Archangel's quest. Come back afterwards, and I'll give you 400,000 EXP points and 300,000 Zens as a reward. However, this applies only to Blood Castle Level 2.	2	49
320	Clear Blood Castle and return.	3	49
321	Well done.	4	49
322	Clear Blood Castle 1 time and return.	5	49
323	Get the supplies for Blood Castle	1	50
324	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 600-699)	2	50
325	Death Knights from the Lost Tower Levels 5 through 7 are causing great harm to travelers there. Go to the Lost Tower and defeat 80 Death Knights. Come see me when that's done to receive an Invisibility Cloak + 3 as a reward. At your current level, it'll be too dangerous for you to hunt the monsters alone. It'll be better if you hunt in a party.	2	50
326	Defeat Death Knights in Lost Tower Level 5-7 and return.	3	50
327	Well done. Here's the supplies.	4	50
328	Defeat Death Knights in Lost Tower Level 5-7 and receive supplies.	5	50
329	Destroy the gate in Blood Castle!	1	51
330	Taking on the challenges of Blood Castle is tantamount to testing one's own limitations. (Level 600-699)	2	51
331	Try your hand at Blood Castle Level 3 and complete Archangel's quest. Come back afterwards, and I'll give you 800,000 EXP points and 500,000 Zens as a reward. However, this applies only to Blood Castle Level 3.	2	51
332	Enter Blood Castle to destroy the gate and return.	3	51
333	Well done.	4	51
334	Destroy the gate in Blood Castle 1 time and return.	5	51
335	Clear Blood Castle!	1	52
336	Surviving Blood Castle is proof of how well you've trained. (Level 600-699)	2	52
337	Try your hand at Blood Castle Level 3 and complete Archangel's quest. Come back afterwards, and I'll give you 1,000,000 EXP points and 1 Jewel of Chaos as a reward. However, this applies only to Blood Castle Level 3.	2	52
338	Clear Blood Castle and return.	3	52
339	Well done.	4	52
340	Clear Blood Castle 1 time and return.	5	52
341	Get the supplies for Blood Castle	1	53
342	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 700-799)	2	53
343	Mega Crusts in Icarus are causing great harm to travelers. Go to Icarus and defeat 80 Mega Crusts. Come see me when that's done to receive an Invisibility Cloak + 4 as a reward. At your current level, it'll be too dangerous for you to hunt the monsters alone. It'll be better if you hunt in a party.	2	53
344	Defeat Mega Crusts in Icarus and return.	3	53
345	Well done. Here's the supplies.	4	53
346	Defeat Mega Crusts in Icarus and receive supplies.	5	53
347	Destroy the gate in Blood Castle!	1	54
348	Taking on the challenges of Blood Castle is tantamount to testing one's own limitations. (Level 700-799)	2	54
349	Try your hand at Blood Castle Level 4. Destroy the castle gate, and I'll give you 1 Jewel of Chaos and 500,000 Zens as a reward. However, this applies only to Blood Castle Level 4.	2	54
350	Enter Blood Castle to destroy the gate and return.	3	54
351	Well done.	4	54
352	Destroy the gate in Blood Castle 1 time and return.	5	54
353	Clear Blood Castle!	1	55
354	Surviving Blood Castle is proof of how well you've trained. (Level 700-799)	2	55
355	Try your hand at Blood Castle Level 4 and complete Archangel's quest. I'll give you 1 Jewel of Soul as a reward when you return. However, this applies only to Blood Castle Level 4.	2	55
356	Clear Blood Castle and return.	3	55
357	Well done.	4	55
358	Clear Blood Castle 1 time and return.	5	55
359	Get the supplies for Blood Castle	1	56
360	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 800-899)	2	56
361	Tantaloses from Tarkan Level 2 are causing great harm to travelers there. Go to Tarkan Level 2 and hunt down 100 Tantaloses. Come see me when that's done to receive an Invisibility Cloak + 5 as a reward. At your current level, it'll be too dangerous for you to hunt the monsters alone. It'll be better if you hunt in a party.	2	56
362	Defeat Tantaloses in Tarkan 2 and return.	3	56
363	Well done. Here's the supplies.	4	56
364	Defeat Tantaloses in Tarkan 2 and receive supplies.	5	56
365	Destroy the gate in Blood Castle!	1	57
366	Taking on the challenges of Blood Castle is tantamount to testing one's own limitations. (Level 800-899)	2	57
367	A wise decision. Try your hand at Blood Castle Level 5. Destroy the castle gate, and I'll give you 1 Jewel of Soul as a reward. However, this applies only to Blood Castle Level 5.	2	57
368	Enter Blood Castle to destroy the gate and return.	3	57
369	Well done.	4	57
370	Destroy the gate in Blood Castle 1 time and return.	5	57
371	Clear Blood Castle!	1	58
372	Surviving Blood Castle is proof of how well you've trained. (Level 800-899)	2	58
373	Try your hand at Blood Castle Level 5 and complete Archangel's quest. I'll give you 1 Jewel of Bless as a reward when you return. However, this applies only to Blood Castle Level 5.	2	58
374	Clear Blood Castle and return.	3	58
375	Well done.	4	58
376	Clear Blood Castle 1 time and return.	5	58
377	Get the supplies for Blood Castle	1	59
378	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 900-999)	2	59
379	Phantom Knights in Icarus are causing great harm to travelers there. Go to Icarus and hunt down 100 Phantom Knights. Come see me when that's done to receive an Invisibility Cloak + 6 as a reward. At your current level, it'll be too dangerous for you to hunt the monsters alone. It'll be better if you hunt in a party.	2	59
380	Defeat Phantom Knights in Icarus and return.	3	59
381	Well done. Here's the supplies.	4	59
382	Defeat Phantom Knights in Icarus and receive supplies.	5	59
383	Destroy the gate in Blood Castle!	1	60
384	Taking on the challenges of Blood Castle is tantamount to testing one's own limitations. (Level 900-999)	2	60
385	Try your hand at Blood Castle Level 6. Destroy the castle gate at least, and I'll give you 1 Jewel of Bless as a reward. However, this applies only to Blood Castle Level 6.	2	60
386	Enter Blood Castle to destroy the gate and return.	3	60
387	Well done.	4	60
388	Destroy the gate in Blood Castle 1 time and return.	5	60
389	Clear Blood Castle!	1	61
390	Surviving Blood Castle is proof of how well you've trained. (Level  900-999)	2	61
391	Try your hand at Blood Castle Level 6 and complete Archangel's quest. I'll give you 1 Jewel of Life as a reward when you return. However, this applies only to Blood Castle Level 6.	2	61
392	Clear Blood Castle and return.	3	61
393	Well done.	4	61
394	Clear Blood Castle 1 time and return.	5	61
395	Get the supplies for Blood Castle	1	62
396	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 1000-1350)	2	62
397	Twin Tails in Kanturu Relics are causing great harm to travelers. Go to Kanturu Relics and hunt down 100 Twin Tails. Come see me when that's done to receive an Invisibility Cloak + 7 as a reward. At your current level, it'll be too dangerous for you to hunt the monsters alone. It'll be better if you hunt in a party.	2	62
398	Defeat Twin Tails in Kanturu Ruins and return.	3	62
399	Well done. Here's the supplies.	4	62
400	Defeat Twin Tails in Kanturu Ruins and receive supplies.	5	62
401	Destroy the gate in Blood Castle!	1	63
402	Taking on the challenges of Blood Castle is tantamount to testing one's own limitations. (Level 1000-1350)	2	63
403	Try your hand at Blood Castle Level 7. Destroy the castle gate at least, and I'll give you 2 Jewels of Soul as a reward. However, this applies only to Blood Castle Level 7.	2	63
404	Enter Blood Castle to destroy the gate and return.	3	63
405	Well done.	4	63
406	Destroy the gate in Blood Castle 1 time and return.	5	63
407	Clear Blood Castle!	1	64
408	Surviving Blood Castle is proof of how well you've trained. (Level 1000-1350)	2	64
409	Try your hand at Blood Castle Level 7 and complete Archangel's quest. I'll give you 2 Jewels of Bless as a reward when you return. However, this applies only to Blood Castle Level 7.	2	64
410	Clear Blood Castle and return.	3	64
411	Well done.	4	64
412	Clear Blood Castle 1 time and return.	5	64
413	Listen to the explanation of the Devil Square quest (50~399).	1	65
414	Are you familiar with a hidden training ground known as Devil Square? It's an opportune place to develop your skills. Why don't you listen to what I have to say and then decide? (Level 50-199)	2	65
415	Devil Square is the place where the Elf Tree once stood. The Elf Tree was created by the mother of all Elves, an underground Elf known as Aria. This tree had the ability to produce Elves regularly. Then Secrarium tricked Lugard and appeared in Noria, at the location of the Elf Tree.	2	65
416	Having set his eyes on the tree's power of birth, Secrarium corrupted the Elf Tree and transformed it into an Immoral Tree that gave birth to monsters.  The monsters horde grew to astronomical proportions, and the kingdoms of the MU continent combined their forces to entrap the immoral tree in a space of nothingness. 	2	65
417	Monsters, however, continued to spawn at regular intervals from the spot where the tree once stood. After careful consideration, the queen of the Elves decided to make a training arena of this place for travelers.	2	65
418	It's very easy to enter Devil Square. It can be entered every four hours from 3:00 a.m. and on (3:00 a.m., 7:00 a.m., 11:00 a.m., 3:00 p.m., 7:00 p.m., and 11:00 p.m.). To enter, take a Devil's Invitation that's right for your level to Charon in Noria five minutes before a scheduled entry time and ask to join. Charon will then send you to Devil Square. 	2	65
419	You'll stand by for about a minute before actually entering. Once this standby time passes, monsters will start to appear. The monsters will continue to attack for ten minutes, and killing them will earn you points. If you score high enough, you might even receive a reward. 	2	65
420	You'll face a steady stream of powerful monsters at Devil Square. Forming a party with other travelers before entering will give you a better chance of survival. 	2	65
421	Thank you for listening. Here's your reward.	4	65
422	Listen to the explanation of the Devil Square.	5	65
423	Get the supplies for Devil Square	1	66
424	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 50-399)	2	66
425	It seems Cursed Liches are tormenting the residents of Elveland with their dark spells and curses. Hunt down 40 of those Cursed Liches, and I'll give you a Devil's Invitation +1 as a reward. I suggest you work with others for faster results.	2	66
426	Defeat Cursed Liches, tormenting the residents of Elveland with their dark spells and curses, in Elbeland and return.	3	66
427	Well done. Here's the supplies.	4	66
428	Hunt Cursed Liches, tormenting the residents of Elveland with their dark spells and curses, in Elbeland and receive supplies.	5	66
429	Gain 50 points in Devil Square!	1	67
430	Taking on the challenges of Devil Square is tantamount to testing one's own limitations. (Level 50-399)	2	67
431	Try your hand at Devil Square Level 1. If you achieve 50 points, I'll give you 100,000 Zens as a reward. However, this applies only to Devil Square Level 1. You will earn 2 points for every monster you hunt.	2	67
432	Enter the Event Map Devil Square to achieve 50 Points and return.	3	67
433	Well done.	4	67
434	Gain 50 points in Devil Square and return.	5	67
435	Clear Devil Square!	1	68
436	Surviving Devil Square is proof of how well you've trained. (Level 50-399)	2	68
437	Enter Devil Square Level 1, defeat the monsters that appear, and survive to the bitter end. Come back afterwards, and I'll give you 100,000 EXP points and 200,000 Zens as a reward. However, this applies only to Devil Square Level 1.	2	68
438	Clear Devil Square and return.	3	68
439	Well done.	4	68
440	Clear Devil Square 1 time and return.	5	68
441	Listen to the explanation of the Devil Square quest (400~599).	1	69
442	Are you familiar with a hidden training ground known as Devil Square? It's an opportune place to develop your skills. Why don't you listen to what I have to say and then decide? (Level 50-199)	2	69
443	Devil Square is the place where the Elf Tree once stood. The Elf Tree was created by the mother of all Elves, an underground Elf known as Aria. This tree had the ability to produce Elves regularly. Then Secrarium tricked Lugard and appeared in Noria, at the location of the Elf Tree.	2	69
444	Having set his eyes on the tree's power of birth, Secrarium corrupted the Elf Tree and transformed it into an Immoral Tree that gave birth to monsters.  The monsters horde grew to astronomical proportions, and the kingdoms of the MU continent combined their forces to entrap the immoral tree in a space of nothingness. 	2	69
445	Monsters, however, continued to spawn at regular intervals from the spot where the tree once stood. After careful consideration, the queen of the Elves decided to make a training arena of this place for travelers.	2	69
446	It's very easy to enter Devil Square. It can be entered every four hours from 3:00 a.m. and on (3:00 a.m., 7:00 a.m., 11:00 a.m., 3:00 p.m., 7:00 p.m., and 11:00 p.m.). To enter, take a Devil's Invitation that's right for your level to Charon in Noria five minutes before a scheduled entry time and ask to join. Charon will then send you to Devil Square. 	2	69
447	You'll stand by for about a minute before actually entering. Once this standby time passes, monsters will start to appear. The monsters will continue to attack for ten minutes, and killing them will earn you points. If you score high enough, you might even receive a reward. 	2	69
448	You'll face a steady stream of powerful monsters at Devil Square. Forming a party with other travelers before entering will give you a better chance of survival. 	2	69
449	Thank you for listening. Here's your reward.	4	69
450	Listen to the explanation of the Devil Square.	5	69
451	Get the supplies for Devil Square	1	70
452	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 400-599)	2	70
453	They say Death Cows, driven by an evil energy, are up to something suspicious in the Lost Tower. Hunt down 60 Death Cows, and I'll give you a Devil's Invitation + 2 as a reward. It'd be wise to take on this quest together with others you can trust.	2	70
454	Defeat Death Cows, driven by an evil energy, in Lost Tower and return.	3	70
455	Well done. Here's the supplies.	4	70
456	Hunt Death Cows, driven by an evil energy, in Lost Tower and receive supplies.	5	70
457	Gain 100 points in Devil Square!	1	71
458	Taking on the challenges of Devil Square is tantamount to testing one's own limitations. (Level 400-599)	2	71
459	The test I have in mind is for you to enter Devil Square Level 2 and achieve 100 points. Do this, and I'll give you 200,000 Zens as a reward. However, this applies only to Devil Square Level 2. You will earn 2 points for every monster you hunt.	2	71
460	Enter the Event Map Devil Square to achieve 100 Points and return.	3	71
461	Well done.	4	71
462	Gain 100 points in Devil Square and return.	5	71
463	Clear Devil Square!	1	72
464	Surviving Devil Square is proof of how well you've trained. (Level 400-599)	2	72
465	Enter Devil Square Level 2, defeat the monsters that appear, and survive to the bitter end. Come back afterwards, and I'll give you 400,000 EXP points and 300,000 Zens as a reward. However, this applies only to Devil Square Level 2.	2	72
466	Clear Devil Square and return.	3	72
467	Well done.	4	72
468	Clear Devil Square 1 time and return.	5	72
469	Get the supplies for Devil Square	1	73
470	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 600-699)	2	73
471	They say the number of Alquamoses in Icarus is increasing and causing quite a headache for travelers. Go to Icarus and hunt down 80 Alquamoses. Come see me once that's done to receive a Devil's Invitation + 3 as a reward. They are strong foes, and you should hunt them with the help of others.	2	73
472	Defeat Alquamoses in Icarus and return.	3	73
473	Well done. Here's the supplies.	4	73
474	Hunt Alquamoses in Icarus and receive supplies.	5	73
475	Gain 130 points in Devil Square!	1	74
476	Taking on the challenges of Devil Square is tantamount to testing one's own limitations. (Level 600-699)	2	74
477	The test I have in mind is for you to enter Devil Square Level 3 and achieve 130 points. Do this successfully and I'll give you 800,000 EXP points and 500,000 Zens as a reward. However, this applies only to Devil Square Level 3. You will earn 2 points for every monster you hunt.	2	74
478	Enter the Event Map Devil Square to achieve 130 Points and return.	3	74
479	Well done.	4	74
480	Gain 130 points in Devil Square and return.	5	74
481	Clear Devil Square!	1	75
482	Surviving Devil Square is proof of how well you've trained. (Level 600-699)	2	75
483	Enter Devil Square Level 3, defeat the monsters that appear, and survive to the bitter end. Come back to me afterwards, and I'll give you 1,000,000 EXP points and 1 Jewel of Chaos as a reward. However, this applies only to Devil Square Level 3.	2	75
484	Clear Devil Square and return.	3	75
485	Well done.	4	75
486	Clear Devil Square 1 time and return.	5	75
487	Get the supplies for Devil Square	1	76
488	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 700-799)	2	76
489	Packs of Iron Wheels often attack travelers in Tarkan. Go to Tarkan and hunt down 100 Iron Wheels. Come see me afterwards to receive a Devil's Invitation + 4 as a reward. They are strong foes, and you should hunt them with the help of others.	2	76
490	Defeat Iron Wheels in Tarkan and return.	3	76
491	Well done. Here's the supplies.	4	76
492	Hunt Iron Wheels in Tarkan and receive supplies.	5	76
493	Gain 160 points in Devil Square!	1	77
494	Taking on the challenges of Devil Square is tantamount to testing one's own limitations. (Level 700-799)	2	77
495	The test I have in mind is for you to enter Devil Square Level 4 and achieve 160 points. Do this successfully and I'll give you 1 Jewel of Chaos and 500,000 Zens as a reward. However, this applies only to Devil Square Level 4. You will earn 2 points for every monster you hunt.	2	77
496	Enter the Event Map Devil Square to achieve 160 Points and return.	3	77
497	Well done.	4	77
498	Gain 160 points in Devil Square and return.	5	77
499	Clear Devil Square!	1	78
500	Surviving Devil Square is proof of how well you've trained. (Level 700-799)	2	78
501	Enter Devil Square Level 4, defeat the monsters that appear, and survive to the bitter end. I'll give you 1 Jewel of Soul as a reward when you return. However, this applies only to Devil Square Level 4.	2	78
502	Clear Devil Square and return.	3	78
503	Well done.	4	78
504	Clear Devil Square 1 time and return.	5	78
505	Get the supplies for Devil Square	1	79
506	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 800-899)	2	79
507	Beam Knights seem to be up to something in Tarkan. Go to Tarkan level 2 and hunt down 100 Beam Knights. Come see me once that's done to receive a Devil's Invitation + 5 as a reward. They are strong foes, and you should hunt them with the help of others.	2	79
508	Defeat Beam Knights in Tarkan and return.	3	79
509	Well done. Here's the supplies.	4	79
510	Hunt Beam Knights in Tarkan and receive supplies.	5	79
511	Gain 190 points in Devil Square!	1	80
512	Taking on the challenges of Devil Square is tantamount to testing one's own limitations. (Level 800-899)	2	80
513	The test I have in mind is for you to enter Devil Square Level 5 and achieve 190 points. Do this successfully and I'll give you 1 Jewel of Soul as a reward. However, this applies only to Devil Square Level 5. You will earn 2 points for every monster you hunt.	2	80
514	Enter the Event Map Devil Square to achieve 190 Points and return.	3	80
515	Well done.	4	80
516	Gain 190 points in Devil Square and return.	5	80
517	Clear Devil Square!	1	81
518	Surviving Devil Square is proof of how well you've trained. (Level 800-899)	2	81
519	Enter Devil Square Level 5, defeat the monsters that appear, and survive to the bitter end. I'll give you 1 Jewel of Bless as a reward when you return. However, this applies only to Devil Square Level 5.	2	81
520	Clear Devil Square and return.	3	81
521	Well done.	4	81
522	Clear Devil Square 1 time and return.	5	81
523	Get the supplies for Devil Square	1	82
524	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 900-999)	2	82
525	Ice Walkers are attacking and weakening the barrier that was formed to separate Raklion and Devias from one another. Go to Raklion and defeat 120 Ice Walkers. Come see me once that's done to receive a Devil's Invitation + 6 as a reward. They are strong foes, and you should hunt them with the help of others.	2	82
526	Defeat Ice Walkers in Raklion and return.	3	82
527	Well done. Here's the supplies.	4	82
528	Hunt Ice Walkers in Raklion and receive supplies.	5	82
529	Gain 210 points in Devil Square!	1	83
530	Taking on the challenges of Devil Square is tantamount to testing one's own limitations. (Level 900-999)	2	83
531	The test I have in mind is for you to enter Devil Square Level 6 and achieve 210 points. Do this successfully and I'll give you 1 Jewel of Bless as a reward. However, this applies only to Devil Square Level 6. You will earn 2 points for every monster you hunt.	2	83
532	Enter the Event Map Devil Square to achieve 210 Points and return.	3	83
533	Well done.	4	83
534	Gain 210 points in Devil Square and return.	5	83
535	Clear Devil Square!	1	84
536	Surviving Devil Square is proof of how well you've trained. (Level  900-999)	2	84
537	Enter Devil Square Level 6, defeat the monsters that appear, and survive to the bitter end. I'll give you 1 Jewel of Life as a reward when you return. However, this applies only to Devil Square Level 6.	2	84
538	Clear Devil Square and return.	3	84
539	Well done.	4	84
540	Clear Devil Square 1 time and return.	5	84
541	Get the supplies for Devil Square	1	85
542	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 1000-1350)	2	85
543	Many travelers are disappearing from the Swamp of Peace because of Shadow Knights. Go to the Swamp of Peace and defeat 140 Shadow Knights. Come see me once that's done to receive a Devil's Invitation + 7 as a reward. They are strong foes, and you should hunt them with the help of others.	2	85
544	Defeat Shadow Knights in Swamp of Peace and return.	3	85
545	Well done. Here's the supplies.	4	85
546	Hunt Shadow Knights in Swamp of Peace and receive supplies.	5	85
547	Gain 240 points in Devil Square!	1	86
548	Taking on the challenges of Devil Square is tantamount to testing one's own limitations. (Level 1000-1350)	2	86
549	The test I have in mind is for you to enter Devil Square Level 7 and achieve 240 points. Do this successfully and I'll give you 2 Jewels of Soul as a reward. However, this applies only to Devil Square Level 7. You will earn 2 points for every monster you hunt.	2	86
550	Enter the Event Map Devil Square to achieve 240 Points and return.	3	86
551	Well done.	4	86
552	Gain 240 points in Devil Square and return.	5	86
553	Clear Devil Square!	1	87
554	Surviving Devil Square is proof of how well you've trained. (Level 1000-1350)	2	87
555	Enter Devil Square Level 7, defeat the monsters that appear, and survive to the bitter end. I'll give you 2 Jewels of Bless as a reward when you return. However, this applies only to Devil Square Level 7.	2	87
556	Clear Devil Square and return.	3	87
557	Well done.	4	87
558	Clear Devil Square 1 time and return.	5	87
559	The call from Acheron	1	88
560	Talk to Deruvish in Acheron.	5	88
561	The Only Survivor of the Adventurers	1	89
562	No, no way! How... How did you get here? First, take cover here. I don't know how you got to Acheron, but scary monsters come out here that you cannot see anywhere else. Oh! I forgot to introduce myself. I'm Deruvish. I came after Vanert in search of Secromicon Fragment. I'm the only one left now.	2	89
563	Hmm... As soon as we got to the island, we were attacked by element monsters. We lost a lot of adventurers from that. Even the survivors left the island with Vanert. I was left behind with a few others to save the other members.	2	89
564	From what I have found out, I think this island was a peaceful place with spirits. Something must have happened to transform the spirits to monsters. However, when they transformed into monsters, they still had the abilities from when they were spirits. They are still dangerous.	2	89
565	Thank you for listening.	4	89
566	Listen to the Only Survivor of the Adventurers	5	89
567	Acheron's Mysterious Power, Element	1	90
568	I don't know why they have transformed into monsters. However, when you see monsters here, you must have an elemental item called Pentagram to fight them. If you want to continue adventuring, you can get Muren's Book of Magic Pentagram item. Please hunt down monsters in Atlans and Acheron Alkmar,  Ubaid area to find Muren's Book of Magic. 	2	90
569	You cannot fight against elemental monsters without Pentagram items. Please reconsider.	2	90
570	You must have Pentagram items to fight against elemental monsters.	3	90
571	Well done.	4	90
572	Get the Pentagram	5	90
573	Errtel Item	1	91
574	You brought Pentagram items? Now you can fight against elemental monsters much better. Let me explain the elements and Pentagram items to you. Please check the Pentagram items that you have already. It must have an element.	2	91
575	There are 5 elements in total. Fire, water, earth, wind, and darkness. The 5 elements have strengths and weaknesses. Fire is weak against water. But it is strong against darkness. Similarly, water is strong against fire and weak against earth. Other elements have weaknesses and strengths shown in order. Once you have Pentagram in your inventory, you will have an element. Additional damage will be added depending on the type. 	2	91
576	You can use the spirit's power. Let's try to kill the monsters by using the elements. Kill 20 Devil Fairies.	2	91
577	Defeat 20 Devil Fairies, the elemental monsters, and return.	3	91
578	Well done.	4	91
579	Defeat 20 Devil Fairies	5	91
580	Create Errtels	1	92
581	You can enhance Pentagram items by using Errtel. Oh! Of course, you can enhance the Pentagram itself and strengthen the elemental power. But if you use Errtel, you can add even more powerful options. 	2	92
582	If you Alt + Right-click an unequipped Pentagram item, the attribute window will open. You can use the Errtel in an empty socket. But there are limitations to the types of jewels that you can equip in sockets.	2	92
583	Socket 1 is for Anger, Socket 2 is for Blessing, Socket 3 is for Integrity, Socket 4 is for Divinity, and Socket 5 is for Radiance. You can unequip jewels, but sometimes they disappear.	2	92
584	You can make an Errtel by combining Mithril and Jewel of Bless. Ok! Shall we go and get the Mithril? If you bring Mithril, I will teach you how to make an Errtel.	2	92
585	Hunt down monsters to get a Mithril.	3	92
586	Well done.	4	92
587	Get Mithril	5	92
588	Spirit Survivor Adniel	1	93
589	When you collect 50 Elemental Powders, they're transformed into Elemental Capsule automatically. You can obtain Elemental Powders by disassembling Set Item or Errtel in the inventory. You can get a variety of elemental items from Elemental Capsule.	2	93
590	Once you have all the ingredients, try making an Errtel. You can make an Errtel from Spirit Adniel. She's one of the few spirits that haven't turned into a monster.	2	93
591	You must have elemental powder to make an elemental capsule.	3	93
592	Well done.	4	93
593	Get elemental powder	5	93
594	Secrets of the Acheron Monsters	1	94
595	Let me explain to you how an Errtel upgrade works. There are level up and rank up for Errtels. For level up, you need the Elemental Rune. For rank up, you need 2 Errtels + 7 with the same rank.	2	94
596	Level up enhances the current rank of the Errtel option. Rank up is an upgrade that adds an option to the jewel. You could say that rank up is better. You can level up to Level 10. You can rank up to Rank 3.	2	94
597	The Errtel of Anger you have right now only has the option of adding attack damage. But if you rank it up and make it Rank 2, it gets an additional option. When it's Rank 3, it will have maximum of 3 options.  Also...	2	94
598	If you collect similar options, you can even gain a Set Effect.  Now, if you go and kill 20 Elemental Beasts, I will show you a second Errtel.	2	94
599	Defeat 20 Elemental Beasts and return.	3	94
600	Well done.	4	94
601	Defeat 20 Elemental Beasts.	5	94
602	Change of Acheron Island	1	95
603	All of the monsters in Acheron were spirits before they became monsters. There must be a reason for the transformation. If we can't find that out, all life on this island will become monsters. Please investigate the Devilfairies, who have gone through the least amount of change. 	2	95
604	You must find out about the secrets of the island to find Secromicon. Please kill 30 Devilfairies. 	2	95
605	Defeat 30 Devil Fairies and return.	3	95
606	Well done.	4	95
607	Defeat 30 Devil Fairies.	5	95
608	Ubaid's Gatekeeper	1	96
609	I have looked in many places in Acheron while you were gone. The island has two faces. It has a beautiful one and a fearsome one. The beautiful side is the side that certainly hasn't changed yet. The fearsome side is the place that has undergone change. Elemental Beasts are especially scary stalkers. In order to safely escape the island, first kill 30 Elemental Beasts.	2	96
610	You must take out all of the stalkers in order to explore every corner of the island safely.	3	96
611	Well done.	4	96
612	Defeat 30 Elemental Beasts.	5	96
613	Discovery of new clue	1	97
614	Are you familiar with using elements now? If you go to the right side of the island, there is a place Spirit Adniel calls Ubaid. At the beginning of the area, there are Elemental Knights. They are different from other spirit monsters. They don't seem to have come from spirits. I think you will have to go to Ubaid area to look into it. Please kill 30 Elemental Knights. 	2	97
615	You must take out all of the stalkers in order to explore every corner of the island safely.	3	97
616	Well done.	4	97
617	Defeat 30 Elemental Knights.	5	97
618	Devil Fairy Elimination Order (Repeatable)	1	98
619	We're in trouble. Powerful monsters in Ubaid have moved to Alkmar. The monsters in Alkmar area have become even more fierce.	2	98
620	Currently, the number of monsters in Acheron have increased significantly. They are attacking the base camp more often. If you kill 50 Devilfairies and come back, I will give you a suitable reward.	2	98
621	Defeat 50 Devil Fairies and return.	3	98
622	Well done.	4	98
623	Defeat 50 Devil Fairies.	5	98
624	Elemental Beast Elimination Order (Repeatable)	1	99
625	Currently, the number of monsters in Acheron have increased significantly. They are attacking the base camp more often. If you kill 50 Elemental Beasts and come back, I will give you a suitable reward.	2	99
626	We are running our of time. Please eliminate Elemental Beasts.	3	99
627	Well done.	4	99
628	Defeat 50 Elemental Beasts.	5	99
629	Elemental Knight Elimination Order (Repeatable)	1	100
630	I'm sure the elemental monsters were spirits. But in order to explore the island, we must protect the base camp. Please kill 50 Elemental Knights. 	2	100
631	You must take out all of the stalkers in order to explore every corner of the island safely.	3	100
632	Well done.	4	100
633	Defeat 50 Elemental Knights.	5	100
634	Eliminate Ubaid Devil Fairy	1	101
635	Have you been to Ubaid? Ubaid elemental monsters have become more fiercer than the elemental monsters in Alkmar. The power that made the spirits change seemed to have influenced the place even more. Won't we know the reason when we look into Ubaid Devilfairies? Please kill 30 Ubaid Devilfairies. 	2	101
636	We have to find out the reason why spirits have changed. Please look into the Ubaid Devilfairies. 	3	101
637	Well done.	4	101
638	Defeat 30 Ubaid Devil Fairies.	5	101
639	Eliminate Ubaid Elemental Beasts	1	102
