////////////////////////////////////////////////////////////////////////////////
//	[ Text  Version ]	0.0.7.8	
//	[ 최종 작업자 ]	사재일
//	[ 최종 작업일 ]	2015-08-11-04:53 PM
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가
////////////////////////////////////////////////////////////////////////////////
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것
					
								
//Index	Viewport index	Item type	Item Index	Name	Type	알림	Clear type	설명	버프값 출력
0	//버프 효과
292	284	14	453	"Switch Scroll"	0	0	1	"Press CTRL+F to use Switch Mode."	0
// Season14 P.1 룬마법사 신규 버프스킬 2종 추가 (2018-10-08 박혜진)
293	285	255	255	"Burst"	0	1	1	"Increase Skill damage and MP cost."	0
294	286	255	255	"Haste"	0	1	1	"Increase Attack Speed and AG cost."	0
295	285	255	255	"Burst Strengthener"	0	1	1	"Increase Skill damage and MP cost."	0
296	285	255	255	"Burst Mastery"	0	1	1	"Increase Skill damage and MP cost."	0
298	286	255	255	"Haste Strengthener"	0	1	1	"Increase Attack Speed and AG cost."	0
299	286	255	255	"Haste Mastery"	0	1	1	"Increase Attack Speed and AG cost."	0
// Season14 P.1 룬마법사 신규 버프스킬 2종 추가 (2018-10-08 박혜진)
301	288	255	255	"Darkness"	0	1	1	"Curse Damage/Defense Increase/Maximum Life Decrease"	0
302	288	255	255	"Darkness"	0	1	1	"Curse Damage/Defense Increase/Maximum Life Decrease"	0
303	288	255	255	"Darkness"	0	1	1	"Minimum Damage/Defense Increase"	0
304	43	255	255	"Weakness Mastery"	0	1	1	"Weakness effect affects the target's attribute damage."	0
305	43	255	255	"Innovation Mastery"	0	1	1	"Weakness effect affects the target's attribute defense."	0
306	289	255	255	"Death Scythe"	0	0	1	"Death Scythe attacks enemy targets with your character."	0
// 가디언 아이템 탈것 버프 설정 등록 (2019-04-15 사재일)
307	290	12	471	"Ghost Horse"	0	0	1	"Guardian mount item"	0
308	291	255	255	"Movement speed increase"	0	0	1	"Guardian mount skill only"	0
// 가디언 옵션 (2019-04-29 사재일)
309	292	255	255	"Elite Monster - Bleeding"	1	0	1	"Elite Monster - Bleeding"	0
310	293	255	255	"Elite Monsters - Poison"	1	0	1	"Elite Monsters - Poison"	0
311	294	255	255	"Elite Monster - Damage Decrease"	1	0	1	"Elite Monster - Damage Decrease"	0
312	295	255	255	"Elite Monster - Attack Speed Decrease"	1	0	1	"Elite Monster - Attack Speed Decrease"	0
313	296	255	255	"Elite Monster - Defense Decrease"	1	0	1	"Elite Monster - Defense Decrease"	0
314	283	255	255	"Wizardry/Curse Damage Increase"	1	0	1	"Wizardry/Curse Damage Increase"	0
// Season15 Part1 슬레이어 신규 버프스킬 추가 (2019-07-09 박혜진)
315	297	255	255	"Bat Flock"	1	0	1	"Bat take a damage every second"	0
316	298	255	255	"Detection"	0	0	1	"Temporarily detects the location of nearby creatures. Rresult remain for 1 minute"	0
317	299	255	255	"Demolish"	0	1	1	"Ignores enemy's defense by %d when attacking."	1
318	298	255	255	"Detection Strengthener"	0	0	1	"Temporarily detects the location of nearby creatures. Rresult remain for 1 minute"	0
319	299	255	255	"Demolish Strengthener"	0	1	1	"Ignores enemy's defense by %d when attacking."	1
320	299	255	255	"Demolish Mastery"	0	1	1	"Ignores enemy's defense by %d when attacking."	1
321	300	255	255	"Demolish - Reduces Attack Power"	1	0	1	""	1
// 15-2 시즌 선점 (2020-01-07 박혜진)									
// 2차 가디언 아이템 탈것 버프 설정 등록 (2020-01-07 박혜진)									
322	290	12	483	"Ice Dragon"	0	0	1	"Guardian mount item"	0
323	290	12	484	"Ice Dragon (Rare)"	0	0	1	"Guardian mount item"	0
// Season15 P.2 - 흑기사 리뉴얼 버프스킬 개발 (2020-01-29 사재일)									
324	301	255	255	"Sword's Fury"	0	1	1	"Switch to Fury Knight. The range and damage range of blow-based attack skills are increased."	0
325	302	255	255	"Strong Belief"	0	1	1	"Switch to Belief Knight. Stat efficiency is changed and you can use solid protection skills."	0
326	303	255	255	"Solid Protection"	0	1	1	"Increases the party member's attack and magic powers, absorbs the party member's HP, and takes part of the damage instead."	0
327	301	255	255	"Sword's Fury Strengthener"	0	1	1	"Switch to Fury Knight. The range and damage range of blow-based attack skills are increased."	0
328	301	255	255	"Sword's Fury Mastery"	0	1	1	"Switch to Fury Knight. The range and damage range of blow-based attack skills are increased."	0
329	303	255	255	"Solid Protection Strengthener"	0	1	1	"Increases the party member's attack and magic powers, absorbs the party member's HP, and takes part of the damage instead."	0
330	303	255	255	"Solid Protection Proficiency"	0	1	1	"Increases the party member's attack and magic powers and absorbs the party member's HP and takes part of the damage instead.."	0
331	303	255	255	"Solid Protection Mastery"	0	1	1	"Increases the party member's attack and magic powers, absorbs the party member's HP, and takes part of the damage instead."	0
332	303	255	255	"Solid Protection Mastery"	0	1	1	"Increases the party member's attack and magic powers, absorbs the party member's HP, and takes part of the damage instead."	0
333	304	255	255	"Solid Protection Effect"	0	1	1	"Black Knight's Blessing Effect"	0
334	302	255	255	"Strong Belief Strengthener"	0	1	1	"Switch to Belief Knight. Stat efficiency is changed and you can use solid protection skills."	0
335	303	255	255	"Solid Protection Enhancement"	0	1	1	"Increases the party member's attack and magic powers, absorbs the party member's HP, and takes part of the damage instead."	0
336	302	255	255	"Strong Belief Strengthener"	0	1	1	"Switch to Belief Knight. Stat efficiency is changed and you can use solid protection skills."	0
349	306	255	255	"20th Anniversary Event Level 0"	0	1	1	"Experience +5%"	0	
350	306	255	255	"20th Anniversary Event Level 1"	0	1	1	"Experience +5%"	0	
351	306	255	255	"20th Anniversary Event Level 2"	0	1	1	"Experience +5%"	0	
352	306	255	255	"20th Anniversary Event Level 3"	0	1	1	"Experience +10%"	0	
353	306	255	255	"20th Anniversary Event Level 4"	0	1	1	"Experience +10%"	0	
354	306	255	255	"20th Anniversary Event Level 5"	0	1	1	"Experience +10%"	0	
355	306	255	255	"20th Anniversary Event Level 6"	0	1	1	"Experience +15%"	0	
356	306	255	255	"20th Anniversary Event Level 7"	0	1	1	"Experience +15%"	0	
357	306	255	255	"20th Anniversary Event Level 8"	0	1	1	"Experience +15%"	0	
358	306	255	255	"20th Anniversary Event Level 9"	0	1	1	"Experience +20%"	0	
359	306	255	255	"20th Anniversary Event Level 10"	0	1	1	"Experience +20%"	0	
360	306	255	255	"20th Anniversary Event Level 11"	0	1	1	"Experience +20%"	0	
361	306	255	255	"20th Anniversary Event Level 12"	0	1	1	"Experience +20%"	0	
362	306	255	255	"20th Anniversary Event Level 13"	0	1	1	"Experience +20%"	0	
363	306	255	255	"20th Anniversary Event Level 14"	0	1	1	"Experience +20%"	0	
364	306	255	255	"20th Anniversary Event Level 15"	0	1	1	"Experience +20%"	0
365	307	255	255	"Spiral Charge"	0	1	1	"Switches to a two-handed Magic Gladiator. / Increases attack power and defense. / Increases the use distance of Chaos Blade and Fire Blood, and explodes a powerful sword when attacking 3 times."	0	
366	307	255	255	"Crusher Charge"	0	1	1	"Switches to one-handed Magic Gladiator. / Attack speed and defense are increased. / Chaos Blade and Ice Blood skill use distance increases, and when attacking 3 times, it explodes a powerful sword."	0	
367	307	255	255	"Elemental Charge"	0	1	1	"Switches to a wizard type Magic Gladiator. / Increases wizardry and defense. / Increases Havok Spear skill use distance and explodes a powerful Nova when attacking 3 times."	0	
368	307	255	255	"Spiral Charge Strengthener"	0	1	1	"Switches to a two-handed Magic Gladiator. / Increases attack power and defense. / Increases the use distance of Chaos Blade and Fire Blood, and explodes a powerful sword when attacking 3 times."	0	
369	307	255	255	"Spiral Charge Mastery"	0	1	1	"Switches to a two-handed Magic Gladiator. / Increases attack power and defense. / Increases the use distance of Chaos Blade and Fire Blood, and explodes a powerful sword when attacking 3 times."	0	
370	307	255	255	"Crusher Charge Strengthener"	0	1	1	"Switches to one-handed Magic Gladiator. / Attack speed and defense are increased. / Chaos Blade and Ice Blood skill use distance increases, and when attacking 3 times, it explodes a powerful sword."	0	
371	307	255	255	"Crusher Charge Mastery"	0	1	1	"Switches to one-handed Magic Gladiator. / Attack speed and defense are increased. / Chaos Blade and Ice Blood skill use distance increases, and when attacking 3 times, it explodes a powerful sword."	0	
372	307	255	255	"Elemental Charge Strengthener"	0	1	1	"Switches to a wizard type Magic Gladiator. / Increases wizardry and defense. / Increases Havok Spear skill use distance and explodes a powerful Nova when attacking 3 times."	0	
373	307	255	255	"Elemental Charge Mastery"	0	1	1	"Switches to a wizard type Magic Gladiator. / Increases wizardry and defense. / Increases Havok Spear skill use distance and explodes a powerful Nova when attacking 3 times."	0	
374	290	12	75	"Pierce Lion"	0	0	1	"Guardian mount item"	0	
375	290	12	76	"Pierce Lion (Rare)"	0	0	1	"Guardian mount item"	0	
377	316	255	255	"Blessing of Experience"	0	1	1	"You are blessed with experience/acquire an additional 35% of the base experience."	0	
378	308	255	255	"Chaos Blade"	1	1	1	""	0	
379	308	255	255	"Havok Spear"	1	1	1	""	0	
380	309	255	255	"Fixed Fire"	0	1	1	"The stat effects of wizardry, attack speed and defense are changed. (Right click to cancel buff)"	0	
381	309	255	255	"Fixed Fire Strengthener"	0	1	1	"The stat effects of wizardry, attack speed and defense are changed. (Right click to cancel buff)"	0	
382	309	255	255	"Fixed Fire Mastery"	0	1	1	"The stat effects of wizardry, attack speed and defense are changed. (Right click to cancel buff)"	0	
end
